person_id,article_id,age,age_span,gender,gender_span,severity,severity_span,is_driver,is_driver_span,vehicle_type,vehicle_type_span,person_state,person_state_span
140,496842,40,"(29, 34)",male,"(85, 86)",serious,"(91, 92)",TRUE,"(41, 43)",motorcycle,"(41, 43)",,
141,496842,33,"(47, 52)",female,"(95, 96)",serious,"(101, 102)",TRUE,"(62, 63)",motorcycle,"(62, 63)",,
142,496843,63,"(65, 70)",male,"(94, 95)",serious,"(101, 102)",TRUE,"(60, 70)",motorcycle,"(60, 70)",,
143,496843,54,"(50, 55)",male,"(55, 56)",none,,TRUE,"(45, 47)",car,"(45, 47)",,
144,496844,50,"(27, 32)",male,"(79, 80)",serious,"(86, 87)",TRUE,"(39, 40)",motorcycle,"(39, 40)",,
145,496844,55,"(52, 57)",male,"(57, 58)",none,,TRUE,"(44, 57)",car,"(44, 57)",,
146,496845,66,"(59, 64)",male,"(64, 65)",serious,"(111, 112)",TRUE,"(50, 64)",motorcycle,"(50, 64)",,
147,496845,56,"(69, 74)",female,"(74, 75)",serious,"(111, 112)",FALSE,,motorcycle,"(50, 64)",,
149,496845,58,"(40, 45)",female,"(45, 46)",none,,TRUE,"(32, 34)",car,"(32, 34)",,
150,496846,78,"(1, 6)",male,"(67, 68)",serious,"(86, 87)",FALSE,,,,,
151,496846,24,"(54, 59)",male,"(59, 60)",none,,TRUE,"(45, 59)",car,"(45, 59)",,
152,496847,24,"(46, 51)",male,"(51, 52)",serious,"(102, 103)",TRUE,"(41, 51)",motorcycle,"(41, 51)",,
153,496847,35,"(63, 68)",male,"(69, 70)",minor,"(112, 113)",TRUE,"(57, 69)",motorcycle,"(57, 69)",,
154,496848,41,"(33, 38)",male,"(75, 76)",serious,"(82, 83)",TRUE,"(29, 38)",car,"(29, 38)",,
155,496848,36,"(48, 53)",female,"(53, 54)",none,,TRUE,"(43, 53)",car,"(43, 53)",,
156,496849,65,"(1, 6)",male,"(59, 60)",serious,"(77, 78)",TRUE,"(38, 46)",motorcycle,"(38, 46)",,
157,496850,62,"(1, 6)",male,"(71, 72)",serious,"(89, 90)",TRUE,"(64, 69)",motorcycle,"(64, 69)",,
158,496850,54,"(52, 57)",female,"(57, 58)",none,,TRUE,"(47, 49)",car,"(47, 49)",,
159,496851,68,"(28, 33)",male,"(83, 84)",serious,"(90, 91)",FALSE,,,,,
160,496851,44,"(52, 57)",male,"(57, 58)",none,,TRUE,"(44, 57)",car,"(44, 57)",,
161,496852,21,"(48, 53)",male,"(53, 54)",serious,"(147, 148)",TRUE,"(43, 53)",motorcycle,"(43, 53)",,
162,496852,21,"(64, 69)",female,"(69, 70)",none,,TRUE,"(59, 69)",car,"(59, 69)",,
163,496852,30,"(95, 100)",male,"(101, 102)",serious,"(147, 148)",TRUE,"(92, 112)",motorcycle,"(92, 112)",,
164,496853,43,"(60, 65)",,,none,,TRUE,"(52, 65)",car,"(52, 65)",,
165,496853,67,"(68, 73)",,,fatal,"(114, 115)",TRUE,"(73, 74)",bicycle,"(73, 74)",,
166,496853,38,"(36, 41)",male,"(41, 42)",none,,TRUE,"(28, 30)",van,"(28, 30)",,
234,496853,38,"(84, 89)",,,,,FALSE,,car,"(52, 65)",,
167,496854,30,"(1, 6)",male,"(178, 179)",none,,TRUE,"(109, 110)",motorcycle,"(108, 110)",,
168,496854,34,"(214, 219)",male,"(219, 220)",serious,"(226, 227)",TRUE,"(78, 79)",,"(78, 79)",,
169,496855,60,"(1, 6)",female,"(50, 51)",serious,"(90, 91)",FALSE,,,,,
170,496855,48,"(60, 65)",female,"(65, 66)",none,,TRUE,"(55, 65)",car,"(55, 65)",,
171,496856,24,"(113, 118)",female,"(118, 119)",fatal,"(12, 15)",FALSE,,,,,
235,496856,20,"(79, 92)",female,"(79, 92)",none,,TRUE,"(79, 92)",truck,"(79, 92)",,
236,496856,34,"(41, 42)",female,"(38, 39)",serious,"(136, 137)",FALSE,,,,,
172,496857,23,"(34, 39)",female,"(39, 40)",none,,TRUE,"(29, 39)",car,"(29, 39)",,
173,496857,77,"(49, 54)",male,"(54, 55)",serious,"(180, 181)",TRUE,"(44, 54)",car,"(44, 54)",,
174,496857,71,"(134, 139)",female,"(139, 140)",fatal,"(142, 143)",FALSE,,car,"(29, 39)",,
175,496857,76,"(169, 174)",female,"(174, 175)",serious,"(180, 181)",FALSE,,car,"(29, 39)",,
176,496858,5,"(1, 6)",male,"(46, 47)",serious,"(8, 9)",FALSE,,,,,
177,496858,22,"(63, 68)",male,"(68, 69)",none,,TRUE,"(55, 68)",car,"(55, 68)",,
178,496859,47,"(72, 77)",male,"(102, 103)",serious,"(109, 110)",TRUE,"(64, 77)",motorcycle,"(64, 77)",,
179,496859,53,"(53, 58)",female,"(58, 59)",none,,TRUE,"(45, 47)",car,"(45, 47)",,
180,496860,63,"(1, 6)",male,"(67, 68)",serious,"(85, 86)",FALSE,,,,,
181,496860,19,"(56, 61)",male,"(61, 62)",none,,TRUE,"(47, 61)",car,"(47, 61)",,
182,496861,50,"(39, 44)",female,"(161, 162)",serious,"(171, 172)",TRUE,"(51, 60)",car,"(51, 60)",,
183,496861,23,"(108, 113)",male,"(177, 178)",serious,"(171, 172)",TRUE,"(129, 137)",motorcycle,"(129, 137)",,
184,496861,29,"(73, 78)",male,"(78, 79)",minor,"(183, 184)",FALSE,,car,"(51, 60)",,
185,496862,26,"(1, 6)",male,"(55, 56)",serious,"(73, 74)",TRUE,"(39, 48)",motorcycle,"(39, 48)",,
186,496863,17,"(1, 6)",female,"(25, 26)",serious,"(98, 99)",FALSE,,,,,
187,496863,52,"(56, 61)",male,"(61, 62)",none,,TRUE,"(51, 61)",car,"(51, 61)",,
188,496864,59,"(56, 61)",male,"(82, 83)",none,"(88, 89)",TRUE,"(46, 61)",van,"(46, 61)",,
237,496864,36,"(1, 6)",male,"(6, 7)",serious,"(88, 89)",FALSE,,,,,
189,496865,34,"(51, 56)",female,"(98, 99)",none,,TRUE,"(46, 56)",car,"(46, 56)",,
190,496865,38,"(66, 71)",male,"(71, 72)",none,,TRUE,"(61, 71)",car,"(61, 71)",,
191,496866,36,"(1, 6)",female,"(103, 104)",none,,TRUE,"(50, 57)",motorcycle,"(50, 57)",,
192,496866,71,"(77, 82)",male,"(82, 83)",none,,TRUE,"(65, 82)",car,"(65, 82)",,
193,496867,57,"(51, 56)",male,"(80, 81)",serious,"(87, 88)",TRUE,"(46, 56)",motorcycle,"(46, 56)",,
194,496867,25,"(96, 101)",female,"(101, 102)",none,,FALSE,,car,"(42, 44)",,
195,496867,,,male,"(127, 128)",none,,TRUE,"(42, 44)",car,"(42, 44)",,
196,496868,31,"(50, 55)",male,"(79, 80)",serious,"(85, 86)",TRUE,"(45, 55)",motorcycle,"(45, 55)",,
197,496868,19,"(34, 39)",female,"(39, 40)",none,,TRUE,"(29, 31)",car,"(29, 31)",,
198,496869,74,"(53, 58)",male,"(58, 59)",minor,"(120, 121)",TRUE,"(58, 74)",car,"(58, 74)",,
199,496869,73,"(77, 82)",female,"(124, 125)",serious,"(128, 129)",FALSE,,car,"(58, 74)",,
238,496869,33,"(70, 73)",,,minor,"(120, 121)",TRUE,"(63, 64)",car,"(63, 64)",,
200,496870,35,"(51, 56)",male,"(79, 80)",serious,"(84, 85)",TRUE,"(46, 57)",motorcycle,"(46, 57)",,
201,496870,30,"(34, 39)",male,"(39, 40)",none,,TRUE,"(29, 31)",van,"(29, 31)",,
202,496871,87,"(1, 6)",female,"(66, 67)",serious,"(89, 90)",FALSE,,,,,
203,496871,68,"(56, 61)",male,"(61, 62)",none,,TRUE,"(40, 61)",truck,"(40, 61)",,
204,496872,25,"(41, 46)",male,"(60, 61)",none,,TRUE,"(58, 63)",van,"(58, 63)",,
205,496872,36,"(83, 88)",,,none,,FALSE,,van,"(58, 63)",,
206,496873,54,"(32, 37)",male,"(96, 97)",fatal,"(12, 15)",TRUE,"(72, 80)",motorcycle,"(72, 80)",,
207,496874,25,"(113, 118)",female,"(146, 147)",minor,"(148, 149)",TRUE,"(107, 118)",van,"(107, 118)",,
208,496874,,,,,serious,"(4, 5)",TRUE,"(97, 99)",car,"(97, 99)",,
239,496874,,,,,serious,"(4, 5)",FALSE,,car,"(97, 99)",,
209,496875,35,"(25, 30)",male,"(40, 41)",none,,TRUE,"(34, 43)",car,"(34, 43)",,
210,496875,28,"(84, 89)",male,"(95, 96)",serious,"(102, 103)",FALSE,,car,"(34, 43)",,
211,496876,28,"(49, 54)",male,"(75, 76)",serious,"(81, 82)",TRUE,"(44, 54)",motorcycle,"(44, 54)",,
212,496876,32,"(34, 39)",,,none,,TRUE,"(29, 31)",car,"(29, 31)",,
213,496877,51,"(59, 64)",male,"(90, 91)",serious,"(97, 98)",TRUE,"(50, 64)",motorcycle,"(50, 64)",,
214,496877,47,"(38, 43)",male,"(44, 45)",none,,TRUE,"(30, 32)",car,"(30, 32)",,
215,496878,57,"(41, 46)",female,"(84, 85)",serious,"(90, 91)",FALSE,,,,,
216,496878,52,"(57, 62)",male,"(62, 63)",none,,TRUE,"(52, 62)",car,"(52, 62)",,
217,496879,52,"(1, 6)",male,"(62, 63)",serious,"(80, 81)",TRUE,"(47, 55)",motorcycle,"(47, 55)",,
218,496880,78,"(34, 39)",female,"(51, 52)",serious,"(81, 82)",TRUE,"(45, 54)",car,"(45, 54)",,
219,496881,64,"(39, 44)",female,"(36, 37)",serious,"(104, 105)",FALSE,,,,,
220,496881,68,"(31, 36)",male,"(102, 103)",minor,"(110, 111)",FALSE,,,,,
221,496881,59,"(67, 72)",male,"(72, 73)",none,,TRUE,"(59, 72)",car,"(59, 72)",,
222,496882,17,"(83, 88)",male,"(95, 96)",serious,"(101, 102)",TRUE,"(48, 67)",motorcycle,"(48, 67)",,
223,496882,41,"(43, 48)",male,"(48, 49)",none,,TRUE,"(35, 37)",car,"(35, 37)",,
224,496883,62,"(44, 49)",male,"(49, 50)",serious,"(123, 124)",TRUE,"(39, 49)",car,"(39, 49)",,
225,496883,41,"(78, 83)",female,"(83, 84)",serious,"(123, 124)",FALSE,,,,,
