id,date_of_accident_gpt-5-mini,date_of_accident_grok-4-fast-non-reasoning,date_of_accident_DeepSeek-R1-0528,date_of_accident_final_value,date_of_accident_confidence,num_people_involved_gpt-5-mini,num_people_involved_grok-4-fast-non-reasoning,num_people_involved_DeepSeek-R1-0528,num_people_involved_final_value,num_people_involved_confidence,num_drivers_gpt-5-mini,num_drivers_grok-4-fast-non-reasoning,num_drivers_DeepSeek-R1-0528,num_drivers_final_value,num_drivers_confidence,driver_ages_gpt-5-mini,driver_ages_grok-4-fast-non-reasoning,driver_ages_DeepSeek-R1-0528,driver_ages_final_value,driver_ages_confidence,driver_genders_gpt-5-mini,driver_genders_grok-4-fast-non-reasoning,driver_genders_DeepSeek-R1-0528,driver_genders_final_value,driver_genders_confidence,injury_severities_gpt-5-mini,injury_severities_grok-4-fast-non-reasoning,injury_severities_DeepSeek-R1-0528,injury_severities_final_value,injury_severities_confidence,num_vehicles_involved_gpt-5-mini,num_vehicles_involved_grok-4-fast-non-reasoning,num_vehicles_involved_DeepSeek-R1-0528,num_vehicles_involved_final_value,num_vehicles_involved_confidence,vehicle_types_gpt-5-mini,vehicle_types_grok-4-fast-non-reasoning,vehicle_types_DeepSeek-R1-0528,vehicle_types_final_value,vehicle_types_confidence,road_conditions_gpt-5-mini,road_conditions_grok-4-fast-non-reasoning,road_conditions_DeepSeek-R1-0528,road_conditions_final_value,road_conditions_confidence,human_factors_gpt-5-mini,human_factors_grok-4-fast-non-reasoning,human_factors_DeepSeek-R1-0528,human_factors_final_value,human_factors_confidence,infrastructure_gpt-5-mini,infrastructure_grok-4-fast-non-reasoning,infrastructure_DeepSeek-R1-0528,infrastructure_final_value,infrastructure_confidence,road_name_gpt-5-mini,road_name_grok-4-fast-non-reasoning,road_name_DeepSeek-R1-0528,road_name_final_value,road_name_confidence,locality_gpt-5-mini,locality_grok-4-fast-non-reasoning,locality_DeepSeek-R1-0528,locality_final_value,locality_confidence
640,,2025-06-07 17:00:00+00:00,2025-06-07 17:00:00+00:00,2025-06-07 17:00:00+00:00,0.67,1,1,1,1,1,1,1,1,1,1,[43],[43],[43],[43],['1.00'],['male'],['male'],['male'],['male'],['1.00'],['dead'],['dead'],['dead'],['dead'],['1.00'],1,1,1,1,1,['motorcycle'],['motorcycle'],['motorcycle'],['motorcycle'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq ix-Xatt Juan B Azopardo,Triq ix-Xatt Juan B Azopardo,Triq ix-Xatt Juan B Azopardo,Triq ix-Xatt Juan B Azopardo,1,Senglea,Senglea,Senglea,Senglea,1
679,,2025-06-07 17:30:00+00:00,2025-06-07 17:30:00+00:00,2025-06-07 17:30:00+00:00,0.67,2,2,2,2,1,2,2,2,2,1,"[39, 36]","[39, 36]","[39, 36]","[39, 36]","['1.00', '1.00']","['male', 'female']","['male', 'female']","['male', 'female']","['male', 'female']","['1.00', '1.00']","['grievous', 'none']","['grievous', 'none']","['grievous', 'none']","['grievous', 'none']","['1.00', '1.00']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq l-Imgarr,Triq l-Imgarr,Triq l-Imgarr,Triq l-Imgarr,1,Xewkija,Xewkija,Xewkija,Xewkija,1
685,,2025-06-07 20:30:00+00:00,2025-06-07 20:30:00+00:00,2025-06-07 20:30:00+00:00,0.67,5,5,5,5,1,2,2,2,2,1,"[22, None]","[22, 0]","[22, None]","[22, None]","['1.00', '0.67']","['female', 'male']","['female', 'male']","['female', 'male']","['female', 'male']","['1.00', '1.00']","['grievous', 'slight', 'slight', 'none', 'grievous']","['grievous', 'slight', 'slight', 'grievous', 'none']","['grievous', 'slight', 'slight', '', 'grievous']","['grievous', 'slight', 'slight', 'none', 'grievous']","['1.00', '1.00', '1.00', '0.33', '0.67']",2,2,2,2,1,"['car', 'car']","['car', 'car']","['car', 'car']","['car', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['intersection'],[],['intersection'],['0.33'],Corner of Triq Paredes and Triq il-Parrocca,Triq Paredes,Triq Paredes and Triq il-Parrocca,Corner of Triq Paredes and Triq il-Parrocca,0.33,St Paul's Bay,St Paul's Bay,St Paul's Bay,St Paul's Bay,1
751,,2025-06-05 20:00:00+00:00,,2025-06-05 20:00:00+00:00,0.33,1,1,2,1,0.67,2,1,2,2,0.67,"[21, None]",[21],"[21, None]","[21, None]","['1.00', '0.67']","['male', 'na']",['male'],"['male', 'na']","['male', 'na']","['1.00', '0.67']",['serious'],['serious'],"['grievous', '']","['serious', '']","['0.67', '0.33']",2,1,2,2,0.67,"['motorcycle', 'car']",['motorcycle'],"['motorcycle', '']","['motorcycle', 'car']","['1.00', '0.33']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Kennedy Drive,Kennedy Drive,Kennedy Drive,Kennedy Drive,1,St Paul's Bay,St Paul's Bay,St Paul's Bay,St Paul's Bay,1
760,,2025-06-03 04:30:00+00:00,2025-06-03 04:30:00+00:00,2025-06-03 04:30:00+00:00,0.67,1,1,1,1,1,1,1,1,1,1,[62],[62],[62],[62],['1.00'],['male'],['male'],['male'],['male'],['1.00'],['serious'],['serious'],['grievous'],['serious'],['0.67'],1,1,1,1,1,['van'],['van'],['van'],['van'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Marfa Road,Marfa Road,Marfa Road,Marfa Road,1,Mellieha,Mellieha,Mellieha,Mellieha,1
964,,2025-05-27 12:30:00+00:00,2025-05-27 12:30:00+00:00,2025-05-27 12:30:00+00:00,0.67,1,1,1,1,1,1,1,1,1,1,[35],[35],[35],[35],['1.00'],['male'],['male'],['male'],['male'],['1.00'],['dead'],['dead'],['dead'],['dead'],['1.00'],1,1,1,1,1,['motorcycle'],['motorcycle'],['motorcycle'],['motorcycle'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['highway'],[],['highway'],['0.33'],Xemxija bypass,Xemxija bypass,Xemxija bypass,Xemxija bypass,1,Xemxija,Xemxija,St Paul's Bay,Xemxija,0.67
974,,2025-05-25 13:15:00+00:00,2025-05-25 13:15:00+00:00,2025-05-25 13:15:00+00:00,0.67,2,1,2,2,0.67,1,1,1,1,1,[22],[22],[22],[22],['1.00'],['male'],['male'],['male'],['male'],['1.00'],"['serious', 'none']",['serious'],"['grievous', 'none']","['serious', 'none']","['0.67', '0.67']",1,1,2,1,0.67,['car'],['car'],"['car', 'pedestrian']","['car', 'pedestrian']","['1.00', '0.33']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq c-Cern,Triq c-Cern,Triq c-Cern,Triq c-Cern,1,Bugibba,Bugibba,Bugibba,Bugibba,1
1015,,2025-05-24 07:15:00+00:00,2025-05-24 07:15:00+00:00,2025-05-24 07:15:00+00:00,0.67,2,2,2,2,1,2,2,2,2,1,"[37, 65]","[37, 65]","[37, 65]","[37, 65]","['1.00', '1.00']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['grievous', 'none']","['grievous', 'none']","['grievous', 'none']","['grievous', 'none']","['1.00', '1.00']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Aldo Moro,Triq Aldo Moro,Triq Aldo Moro,Triq Aldo Moro,1,Marsa,Marsa,Marsa,Marsa,1
1034,2025-05-22 00:00:00+00:00,2025-05-22 00:00:00+00:00,2025-05-22 00:00:00+00:00,2025-05-22 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,[29],[29],[29],[29],['1.00'],['male'],['male'],['na'],['male'],['0.67'],['grievous'],['grievous'],['grievous'],['grievous'],['1.00'],1,1,1,1,1,['car'],['car'],['car'],['car'],['1.00'],[],['dry'],[],['dry'],['0.33'],['lost_control'],[],[],['lost_control'],['0.33'],[],['highway'],[],['highway'],['0.33'],road to Ghajn Tuffieha,,,road to Ghajn Tuffieha,0.33,Mgarr,Ghajn Tuffieha,Mgarr,Mgarr,0.67
1165,2025-05-17 18:30:00+00:00,2025-05-17 18:30:00+00:00,2025-05-17 18:30:00+00:00,2025-05-17 18:30:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[None, None]","[0, 0]","[None, None]","[None, None]","['0.67', '0.67']","['na', 'na']",[],"['na', 'na']","['na', 'na']","['0.67', '0.67']","['grievous', 'slight']","['grievous', 'slight']","['', '']","['grievous', 'slight']","['0.67', '0.67']",2,2,2,2,1,"['car', 'car']","['car', 'car']","['car', 'car']","['car', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['highway'],[],['highway'],['0.33'],Triq Dawret il-Mellieha,Triq Dawret il-Mellieha,Triq Dawret il-Mellieha,Triq Dawret il-Mellieha,1,Mellieha,Mellieha,Mellieha,Mellieha,1
1227,2025-05-15 17:45:00+00:00,2025-05-15 17:45:00+00:00,2025-05-15 17:45:00+00:00,2025-05-15 17:45:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[22, 19]","[22, 19]","[22, 19]","[22, 19]","['1.00', '1.00']","['female', 'female']","['female', 'female']","['female', 'female']","['female', 'female']","['1.00', '1.00']","['grievous', 'none']","['grievous', 'none']","['grievous', '']","['grievous', 'none']","['1.00', '0.67']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['highway'],[],['highway'],['0.33'],Regional Road,Regional Road,Regional Road,Regional Road,1,Santa Venera,Santa Venera,Santa Venera,Santa Venera,1
1274,2025-05-13 00:00:00+00:00,,,2025-05-13 00:00:00+00:00,0.33,0,,,,0,0,,,,0,[],,,[],[],[],,,[],[],[],,,[],[],1,,,1,0.33,['truck'],,,['truck'],['0.33'],[],,,[],[],[],,,[],[],[],,,[],[],Triq Santu Wistin,,,Triq Santu Wistin,0.33,St Julian's,,,St Julian's,0.33
1275,2025-05-12 09:45:00+00:00,2025-05-12 09:45:00+00:00,2025-05-12 09:45:00+00:00,2025-05-12 09:45:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[62, 54]","[62, 54]","[62, 54]","[62, 54]","['1.00', '1.00']","['male', 'female']","['male', 'female']","['na', 'female']","['male', 'female']","['0.67', '1.00']","['slight', 'none']","['slight', 'none']","['', '']","['slight', 'none']","['0.67', '0.67']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],St Joseph High Road,St Joseph High Road,St Joseph High Road,St Joseph High Road,1,Hamrun,Hamrun,Hamrun,Hamrun,1
1286,2025-05-12 08:00:00+00:00,2025-05-12 08:00:00+00:00,2025-05-12 08:00:00+00:00,2025-05-12 08:00:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[34, 29]","[29, 34]","[34, 29]","[34, 29]","['0.67', '0.67']","['male', 'male']","['male', 'male']","['na', 'na']","['male', 'male']","['0.67', '0.67']","['grievous', 'none']","['grievous', 'none']","['', 'grievous']","['grievous', 'none']","['0.67', '0.67']",2,2,2,2,1,"['van', 'motorcycle']","['motorcycle', 'van']","['van', 'motorcycle']","['van', 'motorcycle']","['0.67', '0.67']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq il-Wied,Triq il-Wied,Triq il-Wied,Triq il-Wied,1,Qormi,Qormi,Qormi,Qormi,1
1352,2020-05-02 00:00:00+00:00,,2020-05-02 00:00:00+00:00,2020-05-02 00:00:00+00:00,0.67,1,,1,1,0.67,1,,1,1,0.67,[39],,[39],[39],['0.67'],['male'],,['male'],['male'],['0.67'],['grievous'],,['grievous'],['grievous'],['0.67'],1,,1,1,0.67,['motorcycle'],,['motorcycle'],['motorcycle'],['0.67'],[],,[],[],[],[],,[],[],[],[],,[],[],[],Triq Għar Lapsi,,Triq Ghar Lapsi,Triq Għar Lapsi,0.33,Siggiewi,,Siggiewi,Siggiewi,0.67
1380,2025-05-07 13:15:00+00:00,2025-05-07 13:15:00+00:00,2025-05-07 13:15:00+00:00,2025-05-07 13:15:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[23, 34]","[34, 23]","[23, 34]","[23, 34]","['0.67', '0.67']","['male', 'male']","['male', 'male']","['na', 'na']","['male', 'male']","['0.67', '0.67']","['grievous', 'none']","['grievous', 'none']","['', 'grievous']","['grievous', 'none']","['0.67', '0.67']",2,2,2,2,1,"['car', 'motorcycle']","['motorcycle', 'van']","['van', 'motorcycle']","['car', 'motorcycle']","['0.33', '0.67']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Ghar Dalam,Triq Ghar Dalam,Triq Ghar Dalam,Triq Ghar Dalam,1,Birzebbuga,Birzebbuga,Birzebbuga,Birzebbuga,1
1467,2025-05-04 14:30:00+00:00,2025-05-04 14:30:00+00:00,2025-05-04 14:30:00+00:00,2025-05-04 14:30:00+00:00,1,1,1,1,1,1,1,1,1,1,1,[43],[43],[43],[43],['1.00'],['male'],['male'],['male'],['male'],['1.00'],['slight'],['slight'],[''],['slight'],['0.67'],1,1,1,1,1,['motorcycle'],['motorcycle'],['motorcycle'],['motorcycle'],['1.00'],[],['dry'],[],['dry'],['0.33'],['lost_control'],[],[],['lost_control'],['0.33'],[],['highway'],[],['highway'],['0.33'],December 13 Road,December 13 Road,December 13 Road,December 13 Road,1,Marsa,Marsa,Marsa,Marsa,1
1489,2025-05-03 17:00:00+00:00,2025-05-03 17:00:00+00:00,2025-05-03 17:00:00+00:00,2025-05-03 17:00:00+00:00,1,3,3,3,3,1,2,2,2,2,1,"[74, 33]","[74, 33]","[74, 33]","[74, 33]","['1.00', '1.00']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['slight', 'slight', 'serious']","['slight', 'slight', 'serious']","['slight', 'grievous', 'slight']","['slight', 'slight', 'serious']","['1.00', '0.67', '0.67']",2,2,2,2,1,"['car', 'car']","['car', 'car']","['car', 'car']","['car', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq ix-Xaghra,Triq ix-Xaghra,Triq ix-Xaghra,Triq ix-Xaghra,1,Xaghra,Xaghra,Xaghra,Xaghra,1
1490,2025-05-02 15:30:00+00:00,2025-05-02 15:30:00+00:00,2025-05-02 15:30:00+00:00,2025-05-02 15:30:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[54, 63]","[63, 54]","[63, 54]","[63, 54]","['0.67', '0.67']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['grievous', 'none']","['grievous', 'none']","['grievous', '']","['grievous', 'none']","['1.00', '0.67']",2,2,2,2,1,"['car', 'motorcycle']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['0.67', '0.67']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['highway'],[],['highway'],['0.33'],Triq l-Imgarr,Triq l-Imgarr,Triq l-Imgarr,Triq l-Imgarr,1,Mgarr,Mgarr,Mgarr,Mgarr,1
1718,2025-04-18 13:30:00+00:00,2025-04-18 13:30:00+00:00,2025-04-18 13:30:00+00:00,2025-04-18 13:30:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[72, 31]","[72, 31]","[72, 31]","[72, 31]","['1.00', '1.00']","['male', 'female']","['male', 'female']","['male', 'female']","['male', 'female']","['1.00', '1.00']","['serious', 'none']","['serious', 'none']","['grievous', '']","['serious', 'none']","['0.67', '0.67']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Burmarrad Street,Burmarrad Street,Burmarrad Street,Burmarrad Street,1,St Paul's Bay,St Paul's Bay,St Paul's Bay,St Paul's Bay,1
1769,2025-04-17 13:00:00+00:00,2025-04-17 13:00:00+00:00,2025-04-17 13:00:00+00:00,2025-04-17 13:00:00+00:00,1,2,2,2,2,1,1,1,1,1,1,[22],[22],[22],[22],['1.00'],['male'],['male'],['male'],['male'],['1.00'],"['grievous', 'none']","['grievous', 'none']","['grievous', '']","['grievous', 'none']","['1.00', '0.67']",1,1,1,1,1,['van'],['van'],['car'],['van'],['0.67'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Hal Luqa,Triq Hal Luqa,Triq Hal Luqa,Triq Hal Luqa,1,Luqa,Luqa,Luqa,Luqa,1
1776,2025-04-17 09:30:00+00:00,2025-04-17 09:30:00+00:00,2025-04-17 09:30:00+00:00,2025-04-17 09:30:00+00:00,1,2,2,2,2,1,2,2,2,2,1,"[79, 46]","[79, 46]","[79, 46]","[79, 46]","['1.00', '1.00']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['grievous', 'none']","['grievous', 'none']","['grievous', '']","['grievous', 'none']","['1.00', '0.67']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Tal-Barrani,Triq Tal-Barrani,Triq Tal-Barrani,Triq Tal-Barrani,1,Zejtun,Zejtun,Zejtun,Zejtun,1
